Rank_ID,Rank_Title,Working Area,Pay in ($),Location,Experience Level,Certification Required,Key Skills
J2700,Security Architect,Security Manager,126351,America,Senior,CCIE,Mitigation
J2701,GRC Manager,Penetration Tester,96604,Denmark,Mid-Level,CCIE,Secure Software
J2702,GRC Manager,Application and Web Security,101642,Denmark,Mid-Level,Ethical Hacking,Threat Management
J2703,Security Architect,Security Manager,109384,America,Mid-Level,CISSP,Secure Software
J2704,Security Consultant,Security Manager,147855,Canada,Senior,Ethical Hacking,Python
J2705,Penetration Tester,Application and Web Security,92311,Germany,Senior,CCIE,Vulnerability Assessment
J2706,Cloud Architect,Application and Web Security,78131,New York,Entry-Level,CISSP,Vulnerability Assessment
J2707,GRC Manager,Incident Takeover,101239,Canada,Entry-Level,CompTIA Security+,Secure Software
J2708,Security Consultant,Application and Web Security,96934,New York,Entry-Level,CISSP,Secure Software
J2709,Penetration Tester,Cloud Security and Architect,108385,Germany,Entry-Level,CCNA,Mitigation
J2710,Security Consultant,GRC,95400,Germany,Entry-Level,CISSP,Linux
J2711,Security Consultant,GRC,92456,Denmark,Senior,CISSP,Linux
J2712,Penetration Tester,GRC,85839,New York,Entry-Level,CCNA,Vulnerability Assessment
J2713,Cloud Architect,GRC,103569,Germany,Entry-Level,CISSP,Mitigation
J2714,GRC Manager,GRC,149928,Germany,Mid-Level,CCIE,Linux
J2715,Cloud Architect,Network Monitoring and Security,97682,America,Entry-Level,Ethical Hacking,Threat Management
J2716,Security Compliance Manager,Cloud Security and Architect,116005,Canada,Mid-Level,CCNA,Python
J2717,Penetration Tester,Application and Web Security,97126,Canada,Senior,CISSP,Mitigation
J2718,Security Architect,Penetration Tester,143822,Germany,Senior,CISSP,Linux
J2719,Cloud Architect,Incident Takeover,105176,Germany,Entry-Level,CISSP,Vulnerability Assessment
J2720,Security Architect,Incident Takeover,103393,America,Entry-Level,CompTIA Security+,Linux
J2721,Security Compliance Manager,Penetration Tester,93473,America,Senior,CCIE,Threat Management
J2722,Security Compliance Manager,Penetration Tester,139989,China,Mid-Level,CCNA,Threat Management
J2723,Security Architect,GRC,78644,United Kingdom,Senior,CCIE,Secure Software
J2724,Security Compliance Manager,Penetration Tester,95439,Denmark,Entry-Level,CISSP,Python
J2725,Security Consultant,GRC,117724,Germany,Senior,CISSP,Secure Software
J2726,Cloud Architect,Security Manager,118184,Germany,Entry-Level,CCIE,Python
J2727,Security Architect,Security Manager,92226,New York,Senior,CCNA,Vulnerability Assessment
J2728,Penetration Tester,Security Manager,120045,America,Senior,CISSP,Secure Software
J2729,Penetration Tester,Security Manager,93931,New York,Senior,CCIE,Linux
J2730,Cloud Architect,Cloud Security and Architect,80833,China,Senior,Ethical Hacking,Mitigation
J2731,GRC Manager,Penetration Tester,97899,New York,Mid-Level,CompTIA Security+,Linux
J2732,GRC Manager,Cloud Security and Architect,138081,Denmark,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2733,GRC Manager,Penetration Tester,92630,Germany,Senior,CCNA,Secure Software
J2734,Security Compliance Manager,Cloud Security and Architect,91070,United Kingdom,Entry-Level,CCNA,Threat Management
J2735,Security Architect,Application and Web Security,111516,Denmark,Senior,CISSP,Linux
J2736,Penetration Tester,Application and Web Security,98068,China,Entry-Level,CISSP,Linux
J2737,Security Compliance Manager,Application and Web Security,115869,Denmark,Entry-Level,CCIE,Linux
J2738,Security Architect,Incident Takeover,108222,Denmark,Entry-Level,CompTIA Security+,Threat Management
J2739,GRC Manager,Network Monitoring and Security,110611,Denmark,Mid-Level,CCIE,Secure Software
J2740,Security Consultant,Security Manager,103263,New York,Mid-Level,CompTIA Security+,Secure Software
J2741,Cloud Architect,Network Monitoring and Security,142617,Canada,Mid-Level,CompTIA Security+,Linux
J2742,Security Compliance Manager,Cloud Security and Architect,131998,Denmark,Senior,Ethical Hacking,Linux
J2743,Security Compliance Manager,GRC,95369,Germany,Entry-Level,Ethical Hacking,Python
J2744,Security Compliance Manager,Network Monitoring and Security,120185,United Kingdom,Mid-Level,CCNA,Vulnerability Assessment
J2745,Security Consultant,Network Monitoring and Security,100975,America,Mid-Level,Ethical Hacking,Threat Management
J2746,Security Consultant,Network Monitoring and Security,99701,Denmark,Senior,CompTIA Security+,Secure Software
J2747,Security Architect,Network Monitoring and Security,119479,China,Mid-Level,Ethical Hacking,Linux
J2748,Cloud Architect,Application and Web Security,118102,China,Senior,CompTIA Security+,Vulnerability Assessment
J2749,GRC Manager,Incident Takeover,138195,Denmark,Mid-Level,CCNA,Python
J2750,Cloud Architect,Security Manager,102767,Germany,Senior,CompTIA Security+,Mitigation
J2751,GRC Manager,Incident Takeover,94271,Germany,Mid-Level,CISSP,Secure Software
J2752,Cloud Architect,GRC,125428,United Kingdom,Entry-Level,CCNA,Linux
J2753,Security Architect,Incident Takeover,100886,America,Mid-Level,CISSP,Vulnerability Assessment
J2754,GRC Manager,Application and Web Security,125192,Denmark,Entry-Level,Ethical Hacking,Threat Management
J2755,Security Compliance Manager,Cloud Security and Architect,97386,New York,Mid-Level,Ethical Hacking,Vulnerability Assessment
J2756,Security Compliance Manager,Penetration Tester,101477,New York,Mid-Level,CISSP,Secure Software
J2757,Cloud Architect,Incident Takeover,97367,Canada,Entry-Level,CCIE,Python
J2758,Cloud Architect,Incident Takeover,115015,America,Entry-Level,Ethical Hacking,Secure Software
J2759,Security Consultant,Security Manager,102721,United Kingdom,Entry-Level,CCIE,Vulnerability Assessment
J2760,Penetration Tester,Incident Takeover,104904,Canada,Senior,CCIE,Vulnerability Assessment
J2761,Security Compliance Manager,Penetration Tester,103739,China,Entry-Level,Ethical Hacking,Linux
J2762,Penetration Tester,Incident Takeover,95277,United Kingdom,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2763,Cloud Architect,GRC,137907,Germany,Senior,CCIE,Python
J2764,Security Consultant,Cloud Security and Architect,84745,America,Mid-Level,CCNA,Linux
J2765,GRC Manager,Cloud Security and Architect,108534,China,Mid-Level,Ethical Hacking,Threat Management
J2766,Security Architect,Incident Takeover,91992,China,Entry-Level,CCIE,Threat Management
J2767,Security Compliance Manager,Application and Web Security,112336,Denmark,Entry-Level,Ethical Hacking,Vulnerability Assessment
J2768,Penetration Tester,GRC,106759,Germany,Mid-Level,CISSP,Mitigation
J2769,Security Architect,Cloud Security and Architect,93224,Germany,Entry-Level,CompTIA Security+,Python
J2770,Security Architect,GRC,144044,Canada,Senior,CCIE,Vulnerability Assessment
J2771,Cloud Architect,Incident Takeover,93001,China,Mid-Level,CompTIA Security+,Linux
J2772,Penetration Tester,Application and Web Security,97022,America,Entry-Level,CCIE,Mitigation
J2773,GRC Manager,Network Monitoring and Security,106410,America,Senior,CISSP,Vulnerability Assessment
J2774,GRC Manager,Network Monitoring and Security,115074,Germany,Mid-Level,CCIE,Linux
J2775,Cloud Architect,Incident Takeover,119641,Canada,Senior,CISSP,Vulnerability Assessment
J2776,Security Compliance Manager,Application and Web Security,139963,China,Entry-Level,Ethical Hacking,Python
J2777,Security Architect,Penetration Tester,134274,America,Entry-Level,CCIE,Mitigation
J2778,Security Architect,Penetration Tester,90870,China,Entry-Level,CompTIA Security+,Mitigation
J2779,Cloud Architect,Incident Takeover,97244,America,Senior,Ethical Hacking,Python
J2780,Security Compliance Manager,Application and Web Security,99014,China,Senior,CompTIA Security+,Python
J2781,Security Consultant,Application and Web Security,112151,America,Senior,CCIE,Threat Management
J2782,Security Consultant,Security Manager,135133,Canada,Mid-Level,CCIE,Threat Management
J2783,Cloud Architect,Application and Web Security,110353,Canada,Entry-Level,CCNA,Python
J2784,Security Compliance Manager,Cloud Security and Architect,110294,Germany,Senior,CCNA,Vulnerability Assessment
J2785,Security Consultant,Application and Web Security,82311,America,Entry-Level,CCIE,Threat Management
J2786,GRC Manager,Penetration Tester,116790,Denmark,Senior,CCIE,Linux
J2787,Cloud Architect,Penetration Tester,117221,United Kingdom,Entry-Level,CCIE,Secure Software
J2788,Security Compliance Manager,Security Manager,110593,China,Entry-Level,Ethical Hacking,Threat Management
J2789,Security Consultant,Penetration Tester,100293,Germany,Entry-Level,CCNA,Secure Software
J2790,Cloud Architect,Cloud Security and Architect,95827,Germany,Senior,Ethical Hacking,Secure Software
J2791,Security Consultant,GRC,99549,Germany,Mid-Level,CompTIA Security+,Threat Management
J2792,Cloud Architect,Application and Web Security,87884,New York,Senior,Ethical Hacking,Python
J2793,Cloud Architect,Incident Takeover,99877,Germany,Senior,CCIE,Python
J2794,Cloud Architect,Penetration Tester,99309,United Kingdom,Entry-Level,CCNA,Python
J2795,Security Compliance Manager,Application and Web Security,97695,Denmark,Mid-Level,CCIE,Secure Software
J2796,Cloud Architect,Network Monitoring and Security,119719,Germany,Entry-Level,Ethical Hacking,Mitigation
J2797,Cloud Architect,GRC,112185,Denmark,Mid-Level,CompTIA Security+,Secure Software
J2798,GRC Manager,Cloud Security and Architect,124699,Denmark,Mid-Level,CompTIA Security+,Threat Management
J2799,Penetration Tester,GRC,87012,Denmark,Entry-Level,CISSP,Threat Management
J2800,Security Compliance Manager,Application and Web Security,99477,America,Mid-Level,Ethical Hacking,Linux
J2801,Security Architect,Cloud Security and Architect,111620,China,Senior,CCNA,Mitigation
J2802,Security Consultant,Cloud Security and Architect,113480,United Kingdom,Senior,CCNA,Threat Management
J2803,GRC Manager,Penetration Tester,106613,Canada,Mid-Level,CISSP,Mitigation
J2804,Security Consultant,Incident Takeover,104079,United Kingdom,Entry-Level,CCNA,Secure Software
J2805,Security Consultant,Network Monitoring and Security,80334,China,Senior,Ethical Hacking,Secure Software
J2806,Security Compliance Manager,Penetration Tester,103130,New York,Senior,CCIE,Mitigation
J2807,Security Architect,Security Manager,103793,China,Mid-Level,CISSP,Secure Software
J2808,Cloud Architect,Incident Takeover,111609,United Kingdom,Mid-Level,CompTIA Security+,Python
J2809,Cloud Architect,Cloud Security and Architect,109111,America,Senior,Ethical Hacking,Mitigation
J2810,Security Consultant,Cloud Security and Architect,115793,Denmark,Senior,CCIE,Linux
J2811,Penetration Tester,Network Monitoring and Security,104191,America,Senior,CCNA,Vulnerability Assessment
J2812,Security Consultant,Security Manager,108370,Denmark,Senior,CCNA,Threat Management
J2813,Cloud Architect,Incident Takeover,108714,China,Senior,Ethical Hacking,Mitigation
J2814,GRC Manager,Incident Takeover,97407,United Kingdom,Senior,CISSP,Mitigation
J2815,Security Consultant,Network Monitoring and Security,99818,New York,Mid-Level,CCNA,Threat Management
J2816,Security Consultant,Cloud Security and Architect,144875,New York,Entry-Level,Ethical Hacking,Linux
J2817,Cloud Architect,Application and Web Security,116281,America,Entry-Level,CompTIA Security+,Python
J2818,GRC Manager,Security Manager,112231,China,Mid-Level,Ethical Hacking,Linux
J2819,Penetration Tester,Security Manager,101344,Canada,Entry-Level,Ethical Hacking,Linux
J2820,Security Compliance Manager,GRC,145452,United Kingdom,Senior,CompTIA Security+,Mitigation
J2821,GRC Manager,Application and Web Security,92464,Canada,Mid-Level,CCIE,Secure Software
J2822,Security Compliance Manager,Application and Web Security,94456,Denmark,Senior,CCNA,Vulnerability Assessment
J2823,GRC Manager,Cloud Security and Architect,112188,America,Entry-Level,CCNA,Mitigation
J2824,Penetration Tester,Incident Takeover,113660,Canada,Mid-Level,Ethical Hacking,Threat Management
J2825,Penetration Tester,Application and Web Security,109655,Canada,Entry-Level,CompTIA Security+,Linux
J2826,Security Consultant,Network Monitoring and Security,123617,China,Senior,CCNA,Threat Management
J2827,Cloud Architect,Network Monitoring and Security,83448,Germany,Entry-Level,CompTIA Security+,Secure Software
J2828,Cloud Architect,Network Monitoring and Security,102501,New York,Senior,CompTIA Security+,Vulnerability Assessment
J2829,Security Consultant,Incident Takeover,123889,China,Entry-Level,CompTIA Security+,Vulnerability Assessment
J2830,Penetration Tester,GRC,114503,New York,Senior,CCIE,Secure Software
J2831,Penetration Tester,GRC,105004,China,Entry-Level,CISSP,Mitigation
J2832,Security Consultant,Cloud Security and Architect,91293,Denmark,Entry-Level,CompTIA Security+,Python
J2833,Penetration Tester,Cloud Security and Architect,77506,Germany,Mid-Level,CCIE,Secure Software
J2834,Security Compliance Manager,GRC,98590,China,Senior,CompTIA Security+,Secure Software
J2835,Security Compliance Manager,Network Monitoring and Security,119343,America,Mid-Level,CompTIA Security+,Threat Management
J2836,Security Compliance Manager,Cloud Security and Architect,111534,New York,Senior,Ethical Hacking,Threat Management
J2837,Penetration Tester,Incident Takeover,96080,Canada,Mid-Level,Ethical Hacking,Linux
J2838,GRC Manager,Security Manager,92291,America,Entry-Level,CCNA,Threat Management
J2839,Cloud Architect,Penetration Tester,100258,United Kingdom,Mid-Level,CCIE,Python
J2840,Penetration Tester,Penetration Tester,93338,New York,Mid-Level,CCIE,Secure Software
J2841,Security Compliance Manager,Incident Takeover,127434,China,Mid-Level,CompTIA Security+,Threat Management
J2842,Penetration Tester,Cloud Security and Architect,91563,Denmark,Entry-Level,CCIE,Secure Software
J2843,Penetration Tester,Cloud Security and Architect,110887,United Kingdom,Mid-Level,Ethical Hacking,Linux
J2844,Penetration Tester,Security Manager,81246,Canada,Mid-Level,Ethical Hacking,Mitigation
J2845,Security Compliance Manager,GRC,121133,United Kingdom,Entry-Level,CCNA,Vulnerability Assessment
J2846,Cloud Architect,Penetration Tester,142736,Canada,Senior,CCNA,Linux
J2847,GRC Manager,Security Manager,115489,United Kingdom,Senior,CCIE,Vulnerability Assessment
J2848,Cloud Architect,Application and Web Security,103040,Germany,Mid-Level,CISSP,Threat Management
J2849,Security Consultant,Network Monitoring and Security,96225,Canada,Senior,Ethical Hacking,Vulnerability Assessment
J2850,GRC Manager,Application and Web Security,104141,China,Senior,CCIE,Threat Management
J2851,Security Consultant,Network Monitoring and Security,108866,Canada,Entry-Level,CCIE,Vulnerability Assessment
J2852,Security Compliance Manager,Cloud Security and Architect,100781,Canada,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2853,Security Compliance Manager,Security Manager,102175,Canada,Mid-Level,CISSP,Mitigation
J2854,Security Consultant,Cloud Security and Architect,97170,China,Entry-Level,Ethical Hacking,Python
J2855,Cloud Architect,GRC,107815,New York,Senior,CCIE,Linux
J2856,Security Compliance Manager,Incident Takeover,92232,United Kingdom,Mid-Level,CCNA,Python
J2857,Security Architect,Cloud Security and Architect,143750,United Kingdom,Senior,Ethical Hacking,Mitigation
J2858,GRC Manager,Incident Takeover,97879,Denmark,Mid-Level,CompTIA Security+,Linux
J2859,Security Consultant,GRC,94196,America,Senior,CompTIA Security+,Threat Management
J2860,Cloud Architect,Incident Takeover,110696,Germany,Entry-Level,CCIE,Vulnerability Assessment
J2861,Security Compliance Manager,GRC,129436,Canada,Entry-Level,CompTIA Security+,Linux
J2862,Penetration Tester,GRC,92817,Germany,Senior,CISSP,Linux
J2863,GRC Manager,Security Manager,80153,America,Senior,CCNA,Threat Management
J2864,Security Architect,Cloud Security and Architect,114458,Germany,Senior,CCIE,Mitigation
J2865,Cloud Architect,Cloud Security and Architect,88122,Germany,Entry-Level,CCNA,Vulnerability Assessment
J2866,GRC Manager,Network Monitoring and Security,102729,Germany,Senior,CompTIA Security+,Threat Management
J2867,Security Architect,Incident Takeover,105439,Canada,Senior,Ethical Hacking,Python
J2868,Security Architect,Network Monitoring and Security,102721,United Kingdom,Senior,CISSP,Mitigation
J2869,Cloud Architect,Application and Web Security,94574,United Kingdom,Senior,CompTIA Security+,Python
J2870,Penetration Tester,Application and Web Security,100953,Denmark,Senior,CompTIA Security+,Secure Software
J2871,Cloud Architect,Cloud Security and Architect,102496,China,Mid-Level,CCIE,Mitigation
J2872,GRC Manager,Application and Web Security,96545,New York,Entry-Level,CCIE,Linux
J2873,Security Consultant,Penetration Tester,118579,Canada,Mid-Level,CompTIA Security+,Secure Software
J2874,Security Architect,Application and Web Security,95355,United Kingdom,Senior,Ethical Hacking,Secure Software
J2875,Security Compliance Manager,GRC,93310,Denmark,Mid-Level,CISSP,Linux
J2876,Security Consultant,Cloud Security and Architect,118773,Canada,Entry-Level,CISSP,Python
J2877,Security Architect,Penetration Tester,116652,Canada,Mid-Level,CCIE,Python
J2878,Penetration Tester,Network Monitoring and Security,109160,New York,Mid-Level,Ethical Hacking,Mitigation
J2879,Security Architect,Network Monitoring and Security,103252,Germany,Mid-Level,CCIE,Vulnerability Assessment
J2880,Cloud Architect,GRC,102133,Denmark,Senior,CCNA,Threat Management
J2881,Penetration Tester,Penetration Tester,101598,New York,Mid-Level,CompTIA Security+,Python
J2882,Security Architect,GRC,101342,New York,Entry-Level,CompTIA Security+,Threat Management
J2883,Security Compliance Manager,Network Monitoring and Security,82596,China,Entry-Level,Ethical Hacking,Mitigation
J2884,Security Architect,Security Manager,88667,Denmark,Senior,CompTIA Security+,Linux
J2885,Security Compliance Manager,Network Monitoring and Security,118133,United Kingdom,Entry-Level,CompTIA Security+,Python
J2886,GRC Manager,Penetration Tester,93682,China,Senior,CCNA,Vulnerability Assessment
J2887,Security Compliance Manager,Network Monitoring and Security,99532,America,Senior,CCIE,Python
J2888,Security Consultant,Network Monitoring and Security,96295,America,Mid-Level,CCNA,Mitigation
J2889,Security Compliance Manager,Security Manager,138779,Germany,Entry-Level,CCIE,Secure Software
J2890,Security Consultant,Incident Takeover,137506,United Kingdom,Senior,Ethical Hacking,Vulnerability Assessment
J2891,Security Consultant,Penetration Tester,131768,China,Senior,CISSP,Linux
J2892,Cloud Architect,Penetration Tester,93202,United Kingdom,Senior,CompTIA Security+,Threat Management
J2893,Security Compliance Manager,Network Monitoring and Security,110125,China,Senior,Ethical Hacking,Linux
J2894,Penetration Tester,Security Manager,138799,Canada,Mid-Level,CISSP,Linux
J2895,Penetration Tester,Network Monitoring and Security,105448,America,Entry-Level,CompTIA Security+,Threat Management
J2896,Penetration Tester,Cloud Security and Architect,110802,America,Mid-Level,CISSP,Linux
J2897,Security Architect,Penetration Tester,139119,United Kingdom,Mid-Level,CompTIA Security+,Linux
J2898,Security Architect,Penetration Tester,101228,Germany,Senior,CCNA,Linux
J2899,GRC Manager,Cloud Security and Architect,98736,Denmark,Mid-Level,Ethical Hacking,Mitigation
J2900,GRC Manager,Penetration Tester,105349,Denmark,Entry-Level,CCNA,Vulnerability Assessment
J2901,GRC Manager,Penetration Tester,108228,Denmark,Entry-Level,CISSP,Secure Software
J2902,GRC Manager,Penetration Tester,97540,Denmark,Entry-Level,CCIE,Python
J2903,Security Consultant,Network Monitoring and Security,106995,New York,Senior,CCNA,Threat Management
J2904,Security Consultant,Security Manager,90703,New York,Senior,CCIE,Vulnerability Assessment
J2905,Security Architect,Cloud Security and Architect,80394,United Kingdom,Mid-Level,CompTIA Security+,Mitigation
J2906,Security Architect,Penetration Tester,105140,New York,Entry-Level,CISSP,Mitigation
J2907,Security Consultant,Incident Takeover,98196,Germany,Senior,CCIE,Threat Management
J2908,Cloud Architect,Cloud Security and Architect,118674,Denmark,Mid-Level,CCNA,Linux
J2909,GRC Manager,Penetration Tester,117851,Germany,Entry-Level,CompTIA Security+,Threat Management
J2910,Cloud Architect,GRC,91503,Canada,Entry-Level,CCNA,Python
J2911,Cloud Architect,Security Manager,103044,China,Mid-Level,CCNA,Mitigation
J2912,GRC Manager,Security Manager,105767,New York,Entry-Level,CCNA,Python
J2913,Security Consultant,Application and Web Security,117687,New York,Senior,CCNA,Threat Management
J2914,Penetration Tester,Incident Takeover,109094,America,Senior,CompTIA Security+,Linux
J2915,Cloud Architect,GRC,92322,America,Entry-Level,CCNA,Mitigation
J2916,Penetration Tester,Cloud Security and Architect,117719,Germany,Mid-Level,CompTIA Security+,Python
J2917,Security Compliance Manager,Network Monitoring and Security,94825,Germany,Entry-Level,CCIE,Threat Management
J2918,Security Compliance Manager,Application and Web Security,144266,New York,Senior,CompTIA Security+,Vulnerability Assessment
J2919,Security Compliance Manager,Security Manager,130743,Germany,Mid-Level,CISSP,Secure Software
J2920,Security Compliance Manager,Network Monitoring and Security,125675,New York,Mid-Level,CompTIA Security+,Vulnerability Assessment
J2921,Security Consultant,Penetration Tester,108910,America,Mid-Level,Ethical Hacking,Mitigation
J2922,Security Compliance Manager,Security Manager,115011,Canada,Entry-Level,CompTIA Security+,Linux
J2923,Security Consultant,Security Manager,102109,Germany,Senior,Ethical Hacking,Threat Management
J2924,GRC Manager,Incident Takeover,110712,China,Entry-Level,CCNA,Secure Software
J2925,Cloud Architect,Incident Takeover,86431,United Kingdom,Mid-Level,CCIE,Python
J2926,Security Architect,Penetration Tester,97790,Denmark,Entry-Level,CCIE,Python
J2927,Security Consultant,Network Monitoring and Security,93504,New York,Mid-Level,CCIE,Python
J2928,Security Architect,Application and Web Security,96738,China,Senior,CCIE,Threat Management
J2929,GRC Manager,Incident Takeover,111984,Denmark,Mid-Level,CCNA,Secure Software
J2930,Cloud Architect,Application and Web Security,102063,New York,Senior,Ethical Hacking,Python
J2931,Penetration Tester,Cloud Security and Architect,104476,New York,Mid-Level,CCNA,Python
J2932,GRC Manager,GRC,85950,New York,Senior,CCIE,Vulnerability Assessment
J2933,GRC Manager,Penetration Tester,101028,China,Mid-Level,CCIE,Vulnerability Assessment
J2934,Security Architect,Network Monitoring and Security,116232,United Kingdom,Entry-Level,CCIE,Linux
J2935,Cloud Architect,Application and Web Security,103722,China,Senior,CompTIA Security+,Linux
J2936,GRC Manager,Penetration Tester,99327,America,Senior,CISSP,Threat Management
J2937,Penetration Tester,Network Monitoring and Security,117864,Canada,Entry-Level,CCNA,Threat Management
J2938,Cloud Architect,Network Monitoring and Security,121571,New York,Senior,CCIE,Vulnerability Assessment
J2939,Security Compliance Manager,Incident Takeover,149206,America,Senior,CISSP,Vulnerability Assessment
J2940,Security Architect,Network Monitoring and Security,93794,United Kingdom,Entry-Level,CompTIA Security+,Secure Software
J2941,Security Consultant,Penetration Tester,91168,Canada,Mid-Level,CCIE,Mitigation
J2942,Security Compliance Manager,Application and Web Security,93186,Germany,Entry-Level,CCIE,Python
J2943,Penetration Tester,Incident Takeover,92676,New York,Entry-Level,CompTIA Security+,Linux
J2944,Penetration Tester,Network Monitoring and Security,117252,Germany,Senior,Ethical Hacking,Python
J2945,Cloud Architect,Network Monitoring and Security,144454,Denmark,Entry-Level,CCIE,Python
J2946,Security Compliance Manager,GRC,109976,Denmark,Mid-Level,CompTIA Security+,Linux
J2947,Security Architect,Application and Web Security,89253,China,Senior,CCIE,Threat Management
J2948,Penetration Tester,Network Monitoring and Security,94730,Germany,Entry-Level,Ethical Hacking,Threat Management
J2949,GRC Manager,Incident Takeover,92060,Germany,Mid-Level,CompTIA Security+,Python
J2950,GRC Manager,Penetration Tester,99413,United Kingdom,Senior,CCNA,Linux
J2951,Security Consultant,Network Monitoring and Security,91300,Canada,Entry-Level,Ethical Hacking,Threat Management
J2952,Cloud Architect,Incident Takeover,101213,Canada,Mid-Level,CCIE,Mitigation
J2953,GRC Manager,GRC,91721,Canada,Senior,CISSP,Python
J2954,Security Architect,Application and Web Security,101684,New York,Entry-Level,CISSP,Vulnerability Assessment
J2955,Security Architect,Security Manager,105392,Germany,Senior,CCNA,Secure Software
J2956,Cloud Architect,Penetration Tester,115553,Canada,Mid-Level,CompTIA Security+,Secure Software
J2957,Penetration Tester,Incident Takeover,144003,America,Entry-Level,CompTIA Security+,Linux
J2958,GRC Manager,GRC,88197,United Kingdom,Mid-Level,CCIE,Secure Software
J2959,Penetration Tester,Penetration Tester,92750,United Kingdom,Entry-Level,CISSP,Vulnerability Assessment
J2960,Penetration Tester,Cloud Security and Architect,128822,America,Senior,Ethical Hacking,Mitigation
J2961,Cloud Architect,Application and Web Security,95671,United Kingdom,Mid-Level,CCNA,Python
J2962,Cloud Architect,GRC,109945,Canada,Entry-Level,CompTIA Security+,Vulnerability Assessment
J2963,Cloud Architect,GRC,84854,Canada,Mid-Level,CompTIA Security+,Python
J2964,Cloud Architect,GRC,97183,New York,Entry-Level,CCIE,Mitigation
J2965,Security Architect,Application and Web Security,110609,America,Senior,CCIE,Mitigation
J2966,Security Compliance Manager,Security Manager,109929,Denmark,Entry-Level,CISSP,Python
J2967,GRC Manager,Incident Takeover,99835,Denmark,Mid-Level,CCIE,Vulnerability Assessment
J2968,Security Consultant,Security Manager,89122,America,Mid-Level,Ethical Hacking,Python
J2969,Cloud Architect,Application and Web Security,104310,Canada,Senior,CompTIA Security+,Python
J2970,Security Consultant,Incident Takeover,85806,America,Senior,CCIE,Python
J2971,Security Consultant,GRC,80712,United Kingdom,Entry-Level,CompTIA Security+,Linux
J2972,Cloud Architect,Application and Web Security,103064,China,Mid-Level,CISSP,Secure Software
J2973,Penetration Tester,Penetration Tester,104004,United Kingdom,Senior,CompTIA Security+,Vulnerability Assessment
J2974,Security Compliance Manager,Application and Web Security,108308,Germany,Entry-Level,CCIE,Linux
J2975,Security Compliance Manager,Cloud Security and Architect,108678,United Kingdom,Senior,CompTIA Security+,Python
J2976,Security Compliance Manager,GRC,95377,China,Mid-Level,CCIE,Mitigation
J2977,Security Compliance Manager,Network Monitoring and Security,112190,China,Mid-Level,CCIE,Python
J2978,GRC Manager,Cloud Security and Architect,108053,Canada,Mid-Level,Ethical Hacking,Threat Management
J2979,Security Consultant,Penetration Tester,119138,China,Entry-Level,CCNA,Threat Management
J2980,Security Architect,GRC,105969,New York,Mid-Level,Ethical Hacking,Linux
J2981,Security Compliance Manager,GRC,96578,Denmark,Mid-Level,Ethical Hacking,Mitigation
J2982,Security Consultant,Security Manager,94670,Canada,Senior,CCNA,Vulnerability Assessment
J2983,Security Consultant,Security Manager,90570,United Kingdom,Senior,CCIE,Secure Software
J2984,Security Compliance Manager,GRC,101997,United Kingdom,Mid-Level,CISSP,Python
J2985,Security Architect,Network Monitoring and Security,132174,Germany,Mid-Level,CompTIA Security+,Python
J2986,Penetration Tester,GRC,109014,China,Mid-Level,CompTIA Security+,Mitigation
J2987,Security Compliance Manager,Application and Web Security,88017,Canada,Mid-Level,CCIE,Python
J2988,Security Consultant,Penetration Tester,97911,Germany,Entry-Level,CCNA,Vulnerability Assessment
J2989,Cloud Architect,GRC,104146,Canada,Senior,Ethical Hacking,Threat Management
J2990,Cloud Architect,Penetration Tester,82157,United Kingdom,Entry-Level,CCNA,Vulnerability Assessment
J2991,Security Consultant,Penetration Tester,96811,New York,Entry-Level,CISSP,Python
J2992,Security Architect,Cloud Security and Architect,113039,Germany,Mid-Level,CCIE,Threat Management
J2993,Penetration Tester,Penetration Tester,114968,America,Mid-Level,CISSP,Vulnerability Assessment
J2994,Security Consultant,Penetration Tester,111539,New York,Senior,CCNA,Threat Management
J2995,GRC Manager,Network Monitoring and Security,115673,China,Entry-Level,CompTIA Security+,Secure Software
J2996,Security Architect,Incident Takeover,108733,Canada,Senior,Ethical Hacking,Python
J2997,Security Compliance Manager,Security Manager,93118,China,Mid-Level,CCIE,Linux
J2998,Cloud Architect,Security Manager,101210,Canada,Mid-Level,CCIE,Linux
J2999,Penetration Tester,GRC,94217,Denmark,Entry-Level,CCNA,Python
J3000,GRC Manager,Security Manager,109335,Germany,Mid-Level,CCIE,Threat Management
J3001,GRC Manager,Penetration Tester,85214,America,Senior,CompTIA Security+,Linux
J3002,Security Consultant,Network Monitoring and Security,106638,Denmark,Mid-Level,CCIE,Python
J3003,Security Consultant,Security Manager,95629,Denmark,Entry-Level,CCNA,Vulnerability Assessment
J3004,Security Compliance Manager,Incident Takeover,90023,United Kingdom,Entry-Level,CCIE,Linux
J3005,Security Consultant,Incident Takeover,139705,Denmark,Entry-Level,CCIE,Threat Management
J3006,Security Architect,GRC,89220,Canada,Senior,CompTIA Security+,Secure Software
J3007,Security Compliance Manager,Security Manager,106695,Canada,Senior,CCIE,Python
J3008,Security Architect,Incident Takeover,90707,Canada,Entry-Level,CompTIA Security+,Threat Management
